user_id,signup_date,user_type,subscription_tier,num_interviews,avg_score,baseline_hazard,time_to_churn,churned,time_observed,last_active_date
1,2025-09-07,job_seeker,premium,6,83.04955762702016,0.002064,1011.525775559274,0,120.0,2026-01-05 00:00:00.000000000
2,2025-09-20,interviewer,free,3,84.68045779514297,0.015,75.34728144328052,1,75.34728144328052,2025-12-04 08:20:05.116699435
3,2025-09-29,job_seeker,free,3,67.27313925097053,0.015,71.49507586201142,1,71.49507586201142,2025-12-09 11:52:54.554477784
4,2025-09-15,job_seeker,premium,10,74.59351601090422,0.002064,116.15101539713487,1,116.15101539713487,2026-01-09 03:37:27.730312455
5,2025-09-11,job_seeker,free,4,57.67930246086714,0.015,8.276690140816557,1,8.276690140816557,2025-09-19 06:38:26.028166554
6,2025-09-08,interviewer,free,2,95.40651810376578,0.015,35.78774585740846,1,35.78774585740846,2025-10-13 18:54:21.242080094
7,2025-09-29,job_seeker,free,5,87.8160372831581,0.0048,43.02244712806922,1,43.02244712806922,2025-11-11 00:32:19.431865178
8,2025-09-21,interviewer,premium,5,58.253533203629424,0.002064,52.349500606087005,1,52.349500606087005,2025-11-12 08:23:16.852365916
9,2025-09-07,recruiter,free,2,64.59714953581583,0.015,24.000292337150047,1,24.000292337150047,2025-10-01 00:00:25.257929760
10,2025-09-26,job_seeker,free,5,73.38218015761991,0.0048,410.33720534827705,0,120.0,2026-01-24 00:00:00.000000000
11,2025-09-19,job_seeker,free,5,75.46512864073779,0.0048,3.6035179973855564,1,3.6035179973855564,2025-09-22 14:29:03.954974115
12,2025-09-23,job_seeker,free,5,66.76738439368141,0.0048,72.127556571516,1,72.127556571516,2025-12-04 03:03:40.887778982
13,2025-09-11,job_seeker,free,6,61.26086402753672,0.0048,114.94546285861017,1,114.94546285861017,2026-01-03 22:41:27.990983921
14,2025-09-11,interviewer,free,3,79.74037573039386,0.015,47.63422124784319,1,47.63422124784319,2025-10-28 15:13:16.715813652
